"","x"
"1182","LRRC49"
"1183","LRRC56"
"1184","LRRC58"
"1185","LRRC75A"
"1186","LRRC8C"
"1187","LRRK2"
"1188","LRSAM1"
"1189","LSAMP"
"1190","LSM12"
"1191","LSP1"
"1192","LTN1"
"1193","LY86"
"1194","LYPLA1"
"1195","LYZ"
"1196","M6PR"
"1197","MAATS1"
"1198","MAFB"
"1199","MAK"
"1200","MAN1A1"
"1201","MANBAL"
"1202","MAP3K13"
"1203","MAP3K15"
"1204","MAPK1"
"1205","MAPK12"
"1206","MAPKAPK2"
"1207","MARCHF3"
"1208","MARCHF8"
"1209","MARK3"
"1210","MARS1"
"1211","MAT1A"
"1212","MATN3"
"1213","MBNL2"
"1214","MBOAT1"
"1215","MBTPS2"
"1216","MCC"
"1217","ME1"
"1218","MEAK7"
"1219","MECR"
"1220","MED12"
"1221","MED13"
"1222","MED16"
"1223","MED9"
"1224","MEGF9"
"1225","MEIS2"
"1226","MERTK"
"1227","METTL15"
"1228","METTL25"
"1229","METTL6"
"1230","METTL7A"
"1231","MFAP3L"
"1232","MFGE8"
"1233","MFSD10"
"1234","MFSD13A"
"1235","MFSD9"
"1236","MGLL"
"1237","MGRN1"
"1238","MGST1"
"1239","MICAL2"
"1240","MICU3"
"1241","MILR1"
"1242","MITD1"
"1243","MKNK1"
"1244","MLH1"
"1245","MLKL"
"1246","MLX"
"1247","MMAB"
"1248","MMP9"
"1249","MOCOS"
"1250","MOGS"
"1251","MPEG1"
"1252","MPG"
"1253","MPP7"
"1254","MPV17"
"1255","MPZL1"
"1256","MRC2"
"1257","MREG"
"1258","MRPL1"
"1259","MRPL19"
"1260","MRPL24"
"1261","MRPL30"
"1262","MRPL34"
"1263","MRPL35"
"1264","MRPL40"
"1265","MRPL54"
"1266","MRPL58"
"1267","MRRF"
"1268","MSANTD2"
"1269","MSANTD3"
"1270","MSRB3"
"1271","MSX2"
"1272","MTFR2"
"1273","MTMR14"
"1274","MTMR2"
"1275","MTPN"
"1276","MTRF1L"
"1277","MTTP"
"1278","MTUS1"
"1279","MTUS2"
"1280","MUC5AC"
"1281","MYADM"
"1282","MYCL"
"1283","MYD88"
"1284","MYH11"
"1285","MYL1"
"1286","MYMK"
"1287","MYO10"
"1288","MYO1E"
"1289","MYO5A"
"1290","MYO5C"
"1291","MYOF"
"1292","MYOM1"
"1293","NAAA"
"1294","NABP1"
"1295","NACC2"
"1296","NADK"
"1297","NADSYN1"
"1298","NAMPT"
"1299","NAP1L4"
"1300","NAV1"
"1301","NAV2"
"1302","NCF1"
"1303","NCF4"
"1304","NCOR1"
"1305","NDOR1"
"1306","NDRG1"
"1307","NDST2"
"1308","NDUFS2"
"1309","NDUFS8"
"1310","NDUFV1"
"1311","NECTIN1"
"1312","NEDD4"
"1313","NEIL3"
"1314","NEK1"
"1315","NEK4"
"1316","NELFA"
"1317","NEMF"
"1318","NEPRO"
"1319","NET1"
"1320","NEU4"
"1321","NFAM1"
"1322","NFATC2"
"1323","NFKBIA"
"1324","NGB"
"1325","NHLRC3"
"1326","NHSL1"
"1327","NICN1"
"1328","NID2"
"1329","NIM1K"
"1330","NIN"
"1331","NIT1"
"1332","NKAIN4"
